ID,Time,IPC∑÷¿‡
PAT400,2019,"G03F7/20, H01L21/027, H01L21/033, H01L21/66"
PAT401,2016,"G03F1/62, G03F1/80, G03F7/20, H01L21/027, H01L21/3065"
PAT402,2020,G03F7/20
PAT403,2020,G03F7/20
PAT404,2018,"B41C1/10, G03F7/00, G03F7/11, G03F7/30"
PAT405,2021,"G03F7/00, G01F1/06, G01F1/86, G01M3/32, G01M3/38"
PAT406,2022,"G02B13/14, G02B5/08, G02B27/00, G03F7/00, G03F7/20"
PAT407,2022,"G02B13/14, G02B5/08, G02B27/00, G03F7/00, G03F7/20"
PAT408,2022,G03F1/62
PAT409,2021,G03F1/64
PAT410,2019,H05G2/00
PAT411,2019,"G03F1/70, G03F7/20"
PAT412,2020,G03F7/20
PAT413,2017,G03F7/20
PAT414,2022,G03F7/20
PAT415,2021,G03F7/20
PAT416,2022,G03F7/20
PAT417,2022,"G03F7/20, G03F7/26, H01L21/027"
PAT418,2020,G03F7/20
PAT419,2023,"G01N21/956, G03F7/00"
PAT420,2023,"G03F7/075, C07F7/18, C08G77/14, C08G77/18, C08G77/24, G03F7/09, G03F7/11, G03F7/36"
